Abendschein, Hartmut
Marti, Kurt
Marti, René
Marti, Walter
Marti, Walter Ernst
Marti, Werner
Martignoni, Werner
Martin, Adrian Wolfgang
Masé, Elisabeth
Matter, Joy
Matter, Mani
Mattes, Eugen
Maurer, Alfred
Maurer, Fred
Maurer-Arn, Trudi
May, Nicola
Mehr, Mariella
Meier, Beat
Meier, Gerhard
Meier, Hans Rudolf
Meier, Liliane
Meier, Raeto
Meier-Nobs, Ursula
Messmer, Erwin
Meyer, E.Y.
Meyer, Ernst
Meyer, Georges
Meyer, Paul Michael
Meyer-Eichmann, Walther
Meyer-Holzapfel, Monika
Michel, Markus
Michel, Otto
Micieli, Francesco
Mischler, Ernst
Mistral, Frédéric
Mollet, Li
Moning, Paul
Monnier, Jean-Pierre
Moresco, Antonio
Morgenthaler-Wegmüller, Greti
Moser, Hans Albrecht
Mueller, René E.
Mühlethaler, Hans
Müller, Elisabeth
Müller, Gustav Emil
Müller, Hans
Müller-Bill, Therese
Mumenthaler-Kammer, Vreni
Murk, Tista
Muster, Werner
Mützenberg, Denise
Mützenberg, Gabriel
Nägeli, Ernst
Nazaret, Gaetano da
Nebel, Otto
Nesi, Nino
Neuburger, Lorenz
Neuenschwander, René
Neuweiler, Magda
Neveršilová, Olga
Niederhauser, Paul
Niederhauser, Rolf
Niggli, Martha
Nil, Christoph
Nizon, Paul
Nobs, Ernst
Nobs-Hutzli, Clara
Nüesch, Bernhard
Ochsenbein, Cécile
Ofaire, Charles
Ohloff, Frauke
Pagnard, Rose-Marie
Paratte, Henri-Dominique
Pärli, Kurt
Pauli, Konrad
Pauli, Lorenz
Pedretti, Erica
Pellaton, Jean-Paul
Peter, Beat
Peyer, Hans
Poschung-Zuber, Lydia Johanna
Prêtre, Marcel-Georges
Pulver, Liselotte
Raaflaub, Hans
Raaflaub, Walter
Ramseier, Ernst
Ramseier, Johann
Ramseyer, Beat
Ramstein, Heinz
Randazzo, Primo
Rätz, Ernst
Reber, Alfred
Reber, Sabine
Reich, Richard
Reichen, Charles-Albert
Reichen, Roland
Reichenbach, Gottfried
Reist, Werner
Remund, Ueli
Renfer, Werner
Renker, Gustav
Rentsch, Peter Otto
Rentsch, Verena
Rhyn, Hans
Rhyn, Henrik
Richard, Bernadette
Richard, Hughes
Rieder, Ernst Konrad
Riedlinger, Stefan
Riesen, Armin
Rinderknecht, Karl
Ringgenberg, Fritz
Rochat, Jean-Pierre
Roelli, Hans
Roll, Marcel
Romano, Mirio
Ronner, Emil Ernst
Rossel, François
Roth, Robert
Röthlisberger, Ida
Röthlisberger, Thomas
Rubi, Christian
Ruder, Thomas
Rudolf, Gisela
Rüegsegger, Marie
Rychner, Paul
Ryser-Demarta, Armida
Salzmann, Friedrich
Salzmann, Hansueli
Sandmeier, Eric
Santschi-Roth, Suzanne
Sasdi, Michael
Schädelin, Klaus
Schaeffner, Georg
Schaer-Ris, Adolf
Schäfer, Hans Ulrich
Schär, Romi
Schärer, Gunther
Scheder, Paule-Andrée
Schenk, Sonja
Schenker-Brechbühl, Hanny
Schertenleib, Hansjörg
Scherz, Alfred
Schibler, Peter
Schibli, Emil
Schilling, Helmut
Schilling, Herta
Schindler, Claude
Schindler, Regine
Schläfli, Michael
Schlup, Theresa
Schmalz-Gerber, Verena
Schmezer, Guido
Schmid-Cadalbert, Christian
Schmid-Marti, Frieda
Schmitter, Hans
Schneider, Roger
Schneider, Ursula
Schneider-Di Meo, Anna Maria
Schneider-Flückiger, Margrit
Schneider-Nobs, Elsy
Schneider-Schönthal, Inge
Schneiter, Erwin
Schneiter, Ulrich
Schnyder, Bruno
Schnyder-Seidel, Barbara
Schoder, Peter
Schriber, Margrit
Schumacher, Caroline
Schumacher, Edgar
Schürch, Gertrud
Schürch-Schmidt, Béatrice
Schütz, Hans
Schwaar, Hans Ulrich
Schwander, Marcel
Schwarz, Manfred
Schweiger, Peter
Schwengeler, Arnold Hans
Segesser, Ernst
Senser, Armin
Senti, Alois
Siegenthaler, Pierre
Sigrist, Arnold
Simon, Christoph
Simon, Senta
Solier, Tristan
Sommer, Hans
Sorg, Reto
Spaargaren, Wil
Spring-Wyss, Frieda
Stadler, Markus
Stähli, Ruth
Stalder, Hans
Stalder, Heinz
Stalder, Paul
Stalder, Theres
Stalder-Schüpbach, Rudolf
Stark-Towlson, Helen
Staub-Hadorn, Margrit
Stauffer, Fred
Stauffer, Frieda
Stauffer, Heinz
Stauffer, Michael
Stebler, Jakob
Steck, Ernst Willy
Steck, Roger
Stefan, Verena
Steiger, Bruno
Steiner, Ernst
Steiner, Heinz
Steiner, Jolanda
Steiner, Jörg
Stempowski, Jerzy
Sterchi, Beat
Stettler, Dora
Stettler, Michael
Stettler, Simon
Stocker, Karl
Stössel, Rudolf
Straub, Ruedi
Streich, Albert
Streit, Jakob
Stuber, Lukas
Stuber, Ulrich
Stucki, Rosmarie
Sutermeister, Peter
Tanner, Jacqueline
Tanner, Paul
Tavel, Rudolf von
Thomas-Jimeno, Amory
Touret, Michèle
Traber, Barbara
Traber, Markus
Tribelhorn-Wirth, Hanne
Trösch-Joss, Inge
Tschabold, Matthias
Tschumi, Raymond
Uetz, Karl
Unteregger, Robert
Urfer, Selma
Urweider, Andreas
Urweider, Raphael
Utz, Fritz
Varmunt, Jan
Vögeli, Ilse
Vogler-Bracher, Lore
Vogt, Walter
Voisard, Alexandre
Vuille-Châtelain, Micheline
Vuilleumier, John Friedrich
Waber, Heinrich
Wäber, Harald
Wächter, Emil
Walbrodt, Friedemann
Wallis, Suzanna
Walser, Robert
Walter, Otto
Weber, Beat
Weber, Ulrich
Weder, Heinz
Weibel, Jürg
Weibel, Peter
Weihe, Richard
Wenger, Rosalia
Wenger, Ursula
Werro, Elsbeth
Werthmüller, Hans
Wettach, Alfred
Wichelegger, Uli
Widmer, Fritz
Wiedmer-Mani, Erika
Wild, Marta
Wilker, Gertrud
Wirth, Helene
Wittwer, Fritz
Wittwer, Paul
Wolf, Otto
Wolf, Volker Dieter
Würsch, Renate
Wüterich-Muralt, Emma
Wüthrich, Werner
Wyler, Eugen
Wyss, Florence
Wyss, Hedi
Wyss, Johann Rudolf
Wyss, Margrit
Wyss, Peter
Wyss, Verena
Zahnd, René
Zbinden, Louis-Albert
Zehnder, Christian
Zeller, Francis
Ziegelmüller, Martin
Zimmermann, Katharina
Zingg, Ueli
Zinniker, Otto
Zoss, Roland
Zryd-Sauthier, Gaby
Zschokke, Matthias
Zulliger, Hans
Zulliger-Grimm, Erika
Zurbrügg, Elisabeth
Zürcher, Clara
Zürcher, Verena
Zürcher-Frei, Georges
Zürcher-Frei, Maria
Zürcher-Maas, Dorothee
Zwygart, Thomas
